CÓDIGO,NOME,IMAGEM,CNPJ,SETOR ECONÔMICO,SUBSETOR,SEGMENTO / ADM / PAÍS,TIPO,SEGMENTO
MTIG4,Metalgrafica Iguacu SA Preference Shares,https://bastter.com/mercado/images/acao/MTIG.gif,80.227.184/0001-66,Materiais Básicos,Embalagens,Embalagens,Ação,
SNSY3,Sansuy SA Industria d Plstc Em Rcpr Jdcl,https://bastter.com/mercado/images/acao/SNSY.gif,14.807.945/0001-24,Materiais Básicos,Materiais Diversos,Materiais Diversos,Ação,
SNSY5,Sansuy Industria de Plasticos A Pref Shs,https://bastter.com/mercado/images/acao/SNSY.gif,14.807.945/0001-24,Materiais Básicos,Materiais Diversos,Materiais Diversos,Ação,
SNSY6,Sansuy Industria de Plasticos B Pref Shs,https://bastter.com/mercado/images/acao/SNSY.gif,14.807.945/0001-24,Materiais Básicos,Materiais Diversos,Materiais Diversos,Ação,
ETER3,Eternit SA,https://bastter.com/mercado/images/acao/ETER.gif,61.092.037/0001-81,Bens Industriais,Construção e Engenharia,Produtos para Construção,Ação,NM
HAGA3,Haga S/A Industria E Comercio,https://bastter.com/mercado/images/acao/HAGA.gif,30.540.991/0001-66,Bens Industriais,Construção e Engenharia,Produtos para Construção,Ação,
HAGA4,Haga S/A Industria E Comercio Preference Shares,https://bastter.com/mercado/images/acao/HAGA.gif,30.540.991/0001-66,Bens Industriais,Construção e Engenharia,Produtos para Construção,Ação,
PTBL3,PBG SA,https://bastter.com/mercado/images/acao/PTBL.gif,83.475.913/0001-91,Bens Industriais,Construção e Engenharia,Produtos para Construção,Ação,NM
AZEV3,Azevedo & Travassos SA,https://bastter.com/mercado/images/acao/AZEV.gif,61.351.532/0001-68,Bens Industriais,Construção e Engenharia,Construção Pesada,Ação,
AZEV4,Azevedo & Travassos SA Preference Shares,https://bastter.com/mercado/images/acao/AZEV.gif,61.351.532/0001-68,Bens Industriais,Construção e Engenharia,Construção Pesada,Ação,
SOND3,Sondotecnica Engenharia de Solos SA,https://bastter.com/mercado/images/acao/SOND.gif,33.386.210/0001-19,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,Ação,
SOND5,Sondotenica Engenharia de Solos A Pref Shs,https://bastter.com/mercado/images/acao/SOND.gif,33.386.210/0001-19,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,Ação,
SOND6,Sondotenica Engenharia de Solos B Pref Shs,https://bastter.com/mercado/images/acao/SOND.gif,33.386.210/0001-19,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,Ação,
TCNO3,Tecnosolo Engenharia SA,https://bastter.com/mercado/images/acao/TCNO.gif,33.111.246/0001-90,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,Ação,
TCNO4,Tecnosolo Engenharia SA Preference Shares,https://bastter.com/mercado/images/acao/TCNO.gif,33.111.246/0001-90,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,Ação,
MILS3,Mills Estruturas e Servicos de Engnhr SA,https://bastter.com/mercado/images/acao/MILS.gif,27.093.558/0001-15,Bens Industriais,Construção e Engenharia,Serviços Diversos,Ação,NM
EMBR3,Embraer SA,https://bastter.com/mercado/images/acao/EMBR.gif,07.689.002/0001-89,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa,Ação,NM
FRAS3,Fras-le SA,https://bastter.com/mercado/images/acao/FRAS.gif,88.610.126/0001-29,Bens Industriais,Material de Transporte,Material Rodoviário,Ação,N1
POMO3,Marcopolo SA,https://bastter.com/mercado/images/acao/POMO.gif,88.611.835/0001-29,Bens Industriais,Material de Transporte,Material Rodoviário,Ação,N2
POMO4,Marcopolo SA Preference Shares,https://bastter.com/mercado/images/acao/POMO.gif,88.611.835/0001-29,Bens Industriais,Material de Transporte,Material Rodoviário,Ação,N2
RAPT3,Randon SA Implementos e Participacoes,https://bastter.com/mercado/images/acao/RAPT.gif,89.086.144/0001-16,Bens Industriais,Material de Transporte,Material Rodoviário,Ação,N1
RAPT4,Randon SA Implementos e Participacoes Preference Shares,https://bastter.com/mercado/images/acao/RAPT.gif,89.086.144/0001-16,Bens Industriais,Material de Transporte,Material Rodoviário,Ação,N1
RCSL3,Recrusul SA,https://bastter.com/mercado/images/acao/RCSL.gif,91.333.666/0001-17,Bens Industriais,Material de Transporte,Material Rodoviário,Ação,
RCSL4,Recrusul SA Preference Shares,https://bastter.com/mercado/images/acao/RCSL.gif,91.333.666/0001-17,Bens Industriais,Material de Transporte,Material Rodoviário,Ação,
RSUL3,Metalurgica Riosulense SA,https://bastter.com/mercado/images/acao/RSUL.gif,85.778.074/0001-06,Bens Industriais,Material de Transporte,Material Rodoviário,Ação,
RSUL4,Metalurgica Riosulense SA Preference Shares,https://bastter.com/mercado/images/acao/RSUL.gif,85.778.074/0001-06,Bens Industriais,Material de Transporte,Material Rodoviário,Ação,
TUPY3,Tupy SA,https://bastter.com/mercado/images/acao/TUPY.gif,84.683.374/0001-49,Bens Industriais,Material de Transporte,Material Rodoviário,Ação,NM
